scenario,scenario_label,roof_scenario,roof_label,smart_charging,pv_enabled,bess_enabled,nearby_roofs,constrained_grid,fleet_multiplier,price_column,emission_column,grid_cap_column,roof_buffer_m,roof_capacity_column,demand_charge_cop_per_kw_day,carbon_price_cop_per_kg,pv_capex_cop_per_kwp_day,bess_energy_capex_cop_per_kwh_day,bess_power_capex_cop_per_kw_day,unserved_penalty_cop_per_kwh
S7,Fleet expansion 2026-2035,R3,"Internal depot roofs, high",True,True,True,False,False,1.5,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S7,Fleet expansion 2026-2035,R4,"Depot plus nearby roofs, medium",True,True,True,False,False,1.5,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,1000,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S7,Fleet expansion 2026-2035,R5,Maximum technical roof sensitivity,True,True,True,False,False,1.5,price_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,2000,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S8,High grid emission factor,R1,"Internal depot roofs, conservative",True,True,True,False,False,1.0,price_cop_per_kwh,emission_high_kg_per_kwh,grid_cap_kw_base,0,pv_cap_conservative_kwp,1000.0,400.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S8,High grid emission factor,R2,"Internal depot roofs, medium",True,True,True,False,False,1.0,price_cop_per_kwh,emission_high_kg_per_kwh,grid_cap_kw_base,0,pv_cap_medium_kwp,1000.0,400.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S8,High grid emission factor,R3,"Internal depot roofs, high",True,True,True,False,False,1.0,price_cop_per_kwh,emission_high_kg_per_kwh,grid_cap_kw_base,0,pv_cap_high_kwp,1000.0,400.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S8,High grid emission factor,R4,"Depot plus nearby roofs, medium",True,True,True,False,False,1.0,price_cop_per_kwh,emission_high_kg_per_kwh,grid_cap_kw_base,1000,pv_cap_medium_kwp,1000.0,400.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S8,High grid emission factor,R5,Maximum technical roof sensitivity,True,True,True,False,False,1.0,price_cop_per_kwh,emission_high_kg_per_kwh,grid_cap_kw_base,2000,pv_cap_high_kwp,1000.0,400.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S9,High electricity price,R1,"Internal depot roofs, conservative",True,True,True,False,False,1.0,price_high_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_conservative_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S9,High electricity price,R2,"Internal depot roofs, medium",True,True,True,False,False,1.0,price_high_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S9,High electricity price,R3,"Internal depot roofs, high",True,True,True,False,False,1.0,price_high_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,0,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S9,High electricity price,R4,"Depot plus nearby roofs, medium",True,True,True,False,False,1.0,price_high_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,1000,pv_cap_medium_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
S9,High electricity price,R5,Maximum technical roof sensitivity,True,True,True,False,False,1.0,price_high_cop_per_kwh,emission_kg_per_kwh,grid_cap_kw_base,2000,pv_cap_high_kwp,1000.0,0.0,830.6849315068494,299.17808219178085,131.5068493150685,1000000.0
